ClusterSize, Major1, Major2, Hash, CurriculumSize, Courses
291, CON, EDN, 1243693981, 6, [CON4030F$ CON3043W$ CON2020S$ EDN2005CE$ EDN2520W$ EDN3240W]
296, GSB, SLL, 2047096016, 7, [GSB4527S$ GSB4454S$ GSB4528F$ SLL4072S$ SLL3062F$ SLL3131F$ SLL1002L]
294, AHS, DOM, 2099710054, 7, [AHS4119W$ AHS1033F$ AHS4122W$ DOM1007CE$ DOM1011CE$ DOM1013CE$ DOM1014CE]
239, FTX, DOM, 1639386681, 8, [FTX1004S$ FTX4056S$ FTX20131CE$ FTX4057F$ FTX4057F$ DOM1011CE$ DOM1010CE$ DOM1007CE]
272, PHY, STA, 2018541457, 9, [PHY3021F$ PHY1032F$ PHY3022S$ PHY1023H$ STA1000FEWA$ STA4020W$ STA1000L$ STA1106H$ STA1000S]
100, BUS, FIN, 1438052599, 14, [BUS4027W$ BUS4019R$ BUS3038S$ BUS4006W$ BUS4091Q$ BUS2016H$ BUS201206CE$ BUS1601CE$ BUS4090F$ FIN4050W$ FIN3026F$ FIN1001W$ FIN3026F$ FIN2025W]
92, BIO, CIV, 394247163, 10, [BIO1004S$ BIO2012S$ BIO3016S$ BIO4002W$ BIO3013F$ BIO2011S$ CIV3035FEWA$ CIV2040S$ CIV4041F$ CIV1006S]
110, CHE, PED, 1099099243, 16, [CHE4058Z$ CHE4029Z$ CHE1001Z$ CHE3049W$ CHE3054SEWA$ CHE4045Z$ CHE3053SEWA$ CHE4057F$ CHE4058Z$ PED4018F$ PED4008F$ PED4032W$ PED4039W$ PED4006F$ PED4020S$ PED4029S]
188, GEO, REL, 1668431700, 12, [GEO2001F$ GEO2004S$ GEO3005F$ GEO3001S$ GEO1008F$ GEO2006S$ GEO2006S$ REL2053S$ REL2040F$ REL2053S$ REL4011H$ REL2048S]
200, EEE, MEC, 1573745748, 12, [EEE3084W$ EEE4022S$ EEE4090F$ EEE4109Z$ EEE2041F$ EEE2039W$ EEE4087FEWA$ MEC3000X$ MEC2023S$ MEC4104FEWA$ MEC3031S$ MEC3069S]
